City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,aleksandrovsk-sakhalinskiy,50.8975,142.1561,17.99,89,100,4.26,RU,1722554099
113,goianesia,-15.3175,-49.1175,23.0,34,2,3.0,BR,1722554072
114,sao tome,0.3365,6.7273,23.13,81,94,4.57,ST,1722554104
115,derzhavinsk,51.1,66.3167,22.24,59,79,2.38,KZ,1722554106
116,gadzhiyevo,69.2551,33.3362,9.82,94,100,3.92,RU,1722554107
117,essaouira,31.5125,-9.77,23.72,78,1,5.14,MA,1722554108
118,nova sintra,14.8667,-24.7167,24.89,76,37,6.8,CV,1722554110
119,soe,-9.8607,124.284,18.74,78,64,2.46,ID,1722554111
120,sidon,33.5631,35.3689,28.93,73,0,1.41,LB,1722554112
121,shiguai,40.7058,110.2856,23.89,56,100,1.67,CN,1722554113
122,umea,63.8284,20.2597,14.96,88,100,4.63,SE,1722554114
123,mount isa,-20.7333,139.5,19.87,37,0,2.57,AU,1722554116
124,tazovsky,67.4667,78.7,14.8,87,73,3.36,RU,1722554117
125,kiunga,-6.1219,141.2906,22.73,99,100,1.21,PG,1722554118
126,ad darb,17.7229,42.2526,33.58,53,100,4.63,SA,1722554119
127,puerto ayora,-0.7393,-90.3518,25.98,82,70,3.95,EC,1722554120
128,laojunmiao,39.8333,97.7333,16.56,68,76,1.57,CN,1722554121
129,bubaque,11.2833,-15.8333,26.65,87,100,5.16,GW,1722554123
130,vrangel',42.7297,133.0839,22.83,92,93,0.76,RU,1722554124
131,fale old settlement,-9.3852,-171.2468,27.52,68,71,8.07,TK,1722554125
132,ballina,-28.8667,153.5667,14.88,64,15,5.31,AU,1722554126
133,la rinconada,37.4873,-5.9826,26.18,68,0,4.12,ES,1722554127
134,khandyga,62.6667,135.6,10.47,69,51,1.63,RU,1722554129
135,barranca,-10.75,-77.7667,17.2,83,11,3.55,PE,1722553873
136,juneau,58.3019,-134.4197,16.0,72,100,4.12,US,1722554088
137,cabo san lucas,22.8909,-109.9124,33.61,58,75,4.12,MX,1722554132
138,albany,42.6001,-73.9662,30.51,57,1,0.45,US,1722553691
139,stephenville,32.2207,-98.2023,38.42,20,0,4.63,US,1722554134
140,sitka,57.0531,-135.33,15.94,72,75,3.6,US,1722554136
141,saipan,15.1355,145.701,27.39,94,75,2.06,MP,1722554088
